# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2017-04-30;1.0930;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2017-05-31;1.1221;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2017-06-30;1.1412;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2017-07-31;1.1727;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2017-08-31;1.1825;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2017-09-30;1.1806;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2017-10-31;1.1638;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2017-11-30;1.1849;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2017-12-31;1.1993;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2018-01-31;1.2457;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2018-02-28;1.2214;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2018-03-31;1.2321;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2018-04-30;1.2079;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2018-05-31;1.1699;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2018-06-30;1.1658;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2018-07-31;1.1736;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2018-08-31;1.1651;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2018-09-30;1.1576;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2018-10-31;1.1318;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2018-11-30;1.1359;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2018-12-31;1.1450;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2019-01-31;1.1488;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2019-02-28;1.1416;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2019-03-31;1.1235;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2019-04-30;1.1218;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2019-05-31;1.1151;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2019-06-30;1.1380;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2019-07-31;1.1151;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2019-08-31;1.1036;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2019-09-30;1.0889;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2019-10-31;1.1154;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2019-11-30;1.0982;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2019-12-31;1.1234;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2020-01-31;1.1052;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2020-02-29;1.0977;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2020-03-31;1.0956;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2020-04-30;1.0876;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2020-05-31;1.1136;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2020-06-30;1.1198;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2020-07-31;1.1848;
12532123;Dólar dos EUA (USD) - fim de mês;Valor em fim do período;Divisa;2020-08-31;1.1940;
